index_orig_df,annotator_1,annotator_2,annotator_3
394,positive,neutral,positive
541,neutral,neutral,positive
159,negative,negative,negative
327,negative,negative,negative
693,positive,positive,neutral
440,negative,negative,negative
648,negative,neutral,negative
136,neutral,neutral,positive
374,neutral,neutral,positive
715,positive,positive,neutral
736,positive,positive,positive
223,positive,positive,neutral
576,neutral,neutral,neutral
663,neutral,neutral,neutral
555,positive,neutral,positive
539,neutral,neutral,negative
96,negative,negative,negative
644,positive,positive,neutral
87,negative,negative,negative
510,negative,negative,negative
65,neutral,neutral,neutral
705,negative,negative,negative
581,neutral,neutral,neutral
134,negative,negative,negative
755,neutral,neutral,negative
154,neutral,neutral,neutral
396,negative,negative,negative
753,negative,negative,negative
653,negative,neutral,negative
299,negative,neutral,neutral
240,neutral,neutral,neutral
17,neutral,neutral,neutral
55,neutral,neutral,neutral
124,negative,negative,negative
720,neutral,neutral,neutral
369,negative,neutral,neutral
588,neutral,neutral,positive
509,negative,negative,negative
514,negative,negative,negative
380,neutral,neutral,negative
452,negative,negative,negative
107,negative,negative,neutral
35,neutral,neutral,neutral
172,neutral,neutral,neutral
15,neutral,neutral,negative
38,neutral,neutral,negative
108,neutral,neutral,negative
137,neutral,neutral,neutral
596,negative,negative,negative
339,negative,negative,neutral
179,negative,negative,negative
684,neutral,negative,neutral
571,negative,negative,negative
353,neutral,neutral,negative
579,negative,negative,negative
190,neutral,neutral,positive
233,neutral,neutral,neutral
12,positive,positive,negative
573,negative,negative,negative
76,neutral,neutral,negative
33,neutral,neutral,positive
683,negative,neutral,neutral
436,negative,negative,negative
595,negative,negative,negative
199,neutral,neutral,neutral
551,negative,negative,negative
567,negative,negative,negative
345,negative,negative,negative
390,negative,negative,negative
628,negative,negative,negative
619,negative,negative,negative
602,negative,negative,negative
112,negative,negative,negative
641,negative,negative,negative
643,negative,negative,negative
